id,title,type,genres,averageRating,numVotes,releaseYear
tt0243931,Good Advice,movie,"Comedy, Romance",6.2,7693.0,2001.0
tt0244000,American Outlaws,movie,"Action, Western",5.9,18098.0,2001.0
tt0244244,Swordfish,movie,"Action, Crime, Thriller",6.5,199895.0,2001.0
tt0244316,Yi Yi,movie,"Drama, Romance",8.1,30340.0,2000.0
tt0244479,Dark Blue World,movie,"Action, Drama, Romance",7.1,6231.0,2001.0
tt0244970,Someone Like You,movie,"Comedy, Romance",6.1,28168.0,2001.0
tt0245046,Charlotte Gray,movie,"Drama, Romance, Thriller",6.4,13448.0,2001.0
tt0245120,The Forsaken,movie,"Action, Fantasy, Horror",5.3,9474.0,2001.0
tt0245238,Lost and Delirious,movie,"Drama, Romance",6.8,22929.0,2001.0
tt0245429,Spirited Away,movie,"Adventure, Animation, Family",8.6,906687.0,2001.0
tt0245562,Windtalkers,movie,"Action, Drama, War",6.1,75383.0,2002.0
tt0245574,Y tu mamá también,movie,Drama,7.7,134214.0,2001.0
tt0245674,Thir13en Ghosts,movie,"Fantasy, Horror",5.6,97381.0,2001.0
tt0245686,Joe Dirt,movie,"Adventure, Comedy, Drama",6.0,63141.0,2001.0
tt0245712,Amores Perros,movie,"Drama, Thriller",8.0,266536.0,2000.0
tt0245803,Bulletproof Monk,movie,"Action, Comedy, Fantasy",5.5,53041.0,2003.0
tt0245844,The Count of Monte Cristo,movie,"Action, Adventure, Drama",7.7,154547.0,2002.0
tt0245929,Devils on the Doorstep,movie,"Comedy, Drama, War",8.2,9005.0,2000.0
tt0246460,Die Another Day,movie,"Action, Adventure, Thriller",6.1,234326.0,2002.0
tt0246464,Big Trouble,movie,"Comedy, Crime, Thriller",6.4,22170.0,2002.0
tt0246500,Who Is Cletis Tout?,movie,"Action, Comedy, Crime",6.3,5112.0,2001.0
tt0246544,The Musketeer,movie,"Action, Adventure, Romance",4.8,15254.0,2001.0
tt0246578,Donnie Darko,movie,"Drama, Mystery, Sci-Fi",8.0,880385.0,2001.0
tt0246592,Dummy,movie,"Comedy, Drama, Romance",6.6,7084.0,2002.0
tt0246677,Heaven,movie,"Crime, Drama, Romance",6.9,26782.0,2002.0
tt0246692,Old Men in New Cars,movie,"Action, Comedy, Crime",6.7,9926.0,2002.0
tt0246772,Mostly Martha,movie,"Comedy, Drama, Romance",7.2,8709.0,2001.0
tt0246894,Rollerball,movie,"Action, Sci-Fi, Sport",3.1,30360.0,2002.0
tt0246989,Tomcats,movie,Comedy,5.3,20284.0,2001.0
tt0247196,Before Night Falls,movie,"Biography, Drama, Romance",7.1,26780.0,2000.0
tt0247199,The Believer,movie,Drama,7.1,42258.0,2001.0
tt0247303,The Shaft,movie,"Action, Horror, Mystery",4.7,5664.0,2001.0
tt0247380,The Gleaners & I,movie,Documentary,7.7,9413.0,2000.0
tt0247425,In the Bedroom,movie,"Crime, Drama",7.4,43298.0,2001.0
tt0247444,Juwanna Mann,movie,"Comedy, Drama, Romance",4.7,7289.0,2002.0
tt0247586,Nine Queens,movie,"Crime, Drama, Thriller",7.9,59505.0,2000.0
tt0247638,The Princess Diaries,movie,"Comedy, Family, Romance",6.4,173073.0,2001.0
tt0247745,Super Troopers,movie,"Comedy, Crime, Mystery",7.0,115957.0,2001.0
tt0248126,Kabhi Khushi Kabhie Gham...,movie,"Drama, Musical, Romance",7.4,59430.0,2001.0
tt0248185,Mission Kashmir,movie,"Action, Drama, Thriller",6.6,7835.0,2000.0
tt0248408,Manitou's Shoe,movie,"Comedy, Western",6.7,21096.0,2001.0
tt0248667,Ali,movie,"Biography, Drama, Sport",6.7,107989.0,2001.0
tt0248845,Hedwig and the Angry Inch,movie,"Comedy, Drama, Music",7.7,38279.0,2001.0
tt0249241,Werckmeister Harmonies,movie,"Drama, Mystery",8.0,16893.0,2000.0
tt0249371,Asoka,movie,"Action, Biography, Drama",6.4,15754.0,2001.0
tt0249380,Baise-moi,movie,"Crime, Drama, Thriller",4.4,19018.0,2000.0
tt0249462,Billy Elliot,movie,"Drama, Music",7.7,147784.0,2000.0
tt0249478,Domestic Disturbance,movie,"Crime, Thriller",5.6,29342.0,2001.0
tt0249516,Foodfight!,movie,"Action, Adventure, Animation",1.3,12339.0,2012.0
tt0250081,Storytelling,movie,"Comedy, Drama, Romance",6.8,18666.0,2001.0
tt0250202,All Over the Guy,movie,"Comedy, Romance",6.4,5140.0,2001.0
tt0250223,Asterix & Obelix: Mission Cleopatra,movie,"Adventure, Comedy, Family",6.7,60248.0,2002.0
tt0250224,Crazy/Beautiful,movie,"Drama, Romance",6.4,26074.0,2001.0
